code,name_arabic,name_french,capital,latitude,longitude,area_km2,population,density_per_km2,districts,communes,region,established
1,أدرار,Adrar,Adrar,27.88056,-0.29722,42739,197000,4.61,6,16,Sahara,1974
2,الشلف,Chlef,Chlef,36.1667,1.3333,4791,1356151,283.06,13,35,North (Coastal),1968
3,الأغواط,Laghouat,Laghouat,33.45,2.87,25057,479200,19.12,10,24,Highlands (Steppe),1957
4,أم البواقي,Oum El Bouaghi,Oum El Bouaghi,35.68,7.12,6094,558500,91.65,12,29,Highlands (Aurès),1974
5,باتنة,Batna,Batna,35.55,6.17,12192,1128030,92.52,21,61,Highlands (Aurès),1968
6,بجاية,Béjaïa,Béjaïa,36.75,5.067,3268,984050,301.12,19,52,North (Kabylie),1974
7,بسكرة,Biskra,Biskra,34.867,5.75,9576,869215,90.77,11,27,Sahara Edge (Ziban),1957
8,بشار,Béchar,Béchar,31.63,-2.23,50400,315600,6.26,13,31,Southwest (Saoura/Sahara),1974
9,البليدة,Blida,Blida,36.48,2.83,1696,1009000,594.93,10,25,North (Mitidja),1968
10,البويرة,Bouira,Bouira,36.38,3.9,4435,704462,158.84,12,45,Highlands (Kabylie border),1974
11,تمنراست,Tamanrasset,Tamanrasset,22.78,5.52,228419,191800,0.84,6,23,Deep Sahara (Hoggar),1957
12,تبسة,Tébessa,Tébessa,35.41,8.08,13878,697100,50.23,12,28,Southeast (Highlands/Tunisian border),1968
13,تلمسان,Tlemcen,Tlemcen,34.88,-1.32,9061,945525,104.35,20,54,North (Coastal),1968
14,تيارت,Tiaret,Tiaret,35.37,1.32,20673,842063,40.73,14,42,Highlands,1968
15,تيزي وزو,Tizi Ouzou,Tizi Ouzou,36.72,4.06,2993,1119646,374.09,21,67,North (Kabylie),1968
16,الجزائر,Algiers,Algiers,36.75,3.05,1190,7796923,6552.04,13,57,North (Coastal/Capital),1968
17,الجلفة,Djelfa,Djelfa,34.67,3.38,66415,1223223,18.42,12,36,Highlands (Steppe),1974
18,جيجل,Jijel,Jijel,36.8,5.76,2577,634412,246.18,11,28,North (Coastal),1974
19,سطيف,Sétif,Sétif,36.19,5.41,6504,1496150,230.04,20,60,Highlands (East),1968
20,سعيدة,Saïda,Saïda,34.83,0.15,6764,328685,48.59,6,16,Highlands,1968
21,سكيكدة,Skikda,Skikda,36.87,6.91,4026,1109355,275.55,13,38,North (Coastal),1974
22,سيدي بلعباس,Sidi Bel Abbès,Sidi Bel Abbès,34.85,-0.6,9151,603369,65.93,15,52,North (Inland),1968
23,عنابة,Annaba,Annaba,36.93,7.77,1439,640050,444.79,6,12,North (Coastal),1968
24,قالمة,Guelma,Guelma,36.46,7.43,4101,482261,117.6,10,34,North East,1974
25,قسنطينة,Constantine,Constantine,36.37,6.62,2187,1012643,463.03,6,12,Highlands (East),1968
26,المدية,Médéa,Médéa,36.27,2.75,8866,830943,93.72,19,64,Highlands (Tell Atlas),1968
27,مستغانم,Mostaganem,Mostaganem,35.933,0.083,2269,746947,329.2,10,32,North (Coastal),1984
28,المسيلة,M'Sila,M'Sila,35.71,4.53,18718,991846,52.99,15,47,Highlands,1984
29,معسكر,Mascara,Mascara,35.4,0.15,5941,784073,131.98,16,43,North Inland,1984
30,ورقلة,Ouargla,Ouargla,33.81,5.32,211980,558558,2.63,10,21,Sahara,1974
31,وهران,Oran,Oran,35.69,-0.63,2121,1584607,747.1,9,26,North (Coastal),1968
32,البيض,El Bayadh,El Bayadh,33.68,0.97,78870,262187,3.32,8,22,Highlands/Sahara fringe,1984
33,إيليزي,Illizi,Illizi,32.54,8.28,284618,54490,0.19,3,6,Sahara (Southeast),1984
34,برج بوعريريج,Bordj Bou Arréridj,Bordj Bou Arréridj,36.07,4.75,4115,634396,154.17,10,34,North Inland,1984
35,بومرداس,Boumerdès,Boumerdès,36.77,3.47,1591,802083,504.14,9,32,North (Coastal),1984
36,الطارف,El Tarf,El Tarf,36.75,8.13,3339,411783,123.33,7,24,North East (Coastal),1984
37,تندوف,Tindouf,Tindouf,27.67,-8.13,159000,49149,0.31,1,2,Sahara (Southwest),1974
38,تيسمسيلت,Tissemsilt,Tissemsilt,35.61,1.82,3152,296366,94.02,8,22,North Inland,1984
39,الوادي,El Oued,El Oued,33.51,6.87,54573,673934,12.35,12,30,Sahara (Northeast),1984
40,خنشلة,Khenchela,Khenchela,35.43,7.15,9811,386683,39.41,8,21,Aurès Mountains,1984
41,سوق أهراس,Souk Ahras,Souk Ahras,36.29,7.96,4541,440299,96.96,10,26,North East (Aurès),1984
42,تيبازة,Tipaza,Tipaza,36.59,2.53,2166,617661,285.16,10,28,North (Coastal),1984
43,ميلة,Mila,Mila,36.45,6.27,9375,768419,81.96,13,34,North East,1984
44,عين الدفلى,Aïn Defla,Khemis Miliana,36.26,2.23,4897,771890,157.63,8,36,North,1984
45,النعامة,Naâma,Naâma,33.27,-0.31,29950,209470,6.99,7,12,Highlands (Western),1984
46,عين تموشنت,Aïn Témouchent,Aïn Témouchent,35.31,-1.13,2377,432353,181.89,8,28,North West,1984
47,غرداية,Ghardaïa,Ghardaïa,32.49,3.67,21224,391671,18.45,9,13,Sahara (M'Zab Valley),1984
48,ريزان,Relizane,Relizane,35.94,0.33,4870,733060,150.53,7,38,North West,1984
49,المغير,El M'Ghair,El M'Ghair,33.41,6.66,8835,162267,18.37,6,12,Sahara,2019
50,المنيعة,El Meniaa,El Meniaa,30.57,2.87,62215,57276,0.92,4,8,Sahara,2019
51,أولاد جلال,Ouled Djellal,Ouled Djellal,35.81,5.91,11410,174219,15.27,6,12,Sahara (Highlands fringe),2019
52,برج باجي مختار,Bordj Badji Mokhtar,Bordj Badji Mokhtar,21.94,-0.95,120026,16437,0.14,2,4,Sahara (Deep South),2019
53,بني عباس,Béni Abbès,Béni Abbès,30.13,-2.17,101350,50163,0.49,6,10,Sahara (Saoura),2019
54,تيميمون,Timimoun,Timimoun,29.29,0.23,65203,122019,1.87,4,10,Sahara (Gourara),2019
